data,faturamento_mes_anterior,faturamento_mes_atual,variacao_percentual,media_mes,classificacao
2012-03,,2999.40,,70994.91,Abaixo da Média
2012-04,2999.40,4949.01,65.00,70994.91,Abaixo da Média
2012-05,4949.01,5398.92,9.09,70994.91,Abaixo da Média
2012-06,5398.92,6998.60,29.63,70994.91,Abaixo da Média
2012-07,6998.60,8448.31,20.71,70994.91,Abaixo da Média
2012-08,8448.31,11397.72,34.91,70994.91,Abaixo da Média
2012-09,11397.72,14347.13,25.88,70994.91,Abaixo da Média
2012-10,14347.13,18546.29,29.27,70994.91,Abaixo da Média
2012-11,18546.29,30893.82,66.58,70994.91,Abaixo da Média
2012-12,30893.82,25294.94,-18.12,70994.91,Abaixo da Média
2013-01,25294.94,19966.10,-21.07,70994.91,Abaixo da Média
2013-02,19966.10,26515.02,32.80,70994.91,Abaixo da Média
2013-03,26515.02,19896.15,-24.96,70994.91,Abaixo da Média
2013-04,19896.15,28584.47,43.67,70994.91,Abaixo da Média
2013-05,28584.47,29364.29,2.73,70994.91,Abaixo da Média
2013-06,29364.29,30544.07,4.02,70994.91,Abaixo da Média
2013-07,30544.07,31143.96,1.96,70994.91,Abaixo da Média
2013-08,31143.96,31373.92,0.74,70994.91,Abaixo da Média
2013-09,31373.92,33383.53,6.41,70994.91,Abaixo da Média
2013-10,33383.53,41542.02,24.44,70994.91,Abaixo da Média
2013-11,41542.02,50700.28,22.05,70994.91,Abaixo da Média
2013-12,50700.28,67816.74,33.76,70994.91,Abaixo da Média
2014-01,67816.74,69618.31,2.66,70994.91,Abaixo da Média
2014-02,69618.31,95305.98,36.90,70994.91,Acima da Média
2014-03,95305.98,100374.51,5.32,70994.91,Acima da Média
2014-04,100374.51,115421.11,14.99,70994.91,Acima da Média
2014-05,115421.11,133831.17,15.95,70994.91,Acima da Média
2014-06,133831.17,118920.53,-11.14,70994.91,Acima da Média
2014-07,118920.53,124273.37,4.50,70994.91,Acima da Média
2014-08,124273.37,125662.74,1.12,70994.91,Acima da Média
2014-09,125662.74,138677.95,10.36,70994.91,Acima da Média
2014-10,138677.95,155842.12,12.38,70994.91,Acima da Média
2014-11,155842.12,191320.64,22.77,70994.91,Acima da Média
2014-12,191320.64,214665.34,12.20,70994.91,Acima da Média
2015-01,214665.34,198932.58,-7.33,70994.91,Acima da Média
2015-02,198932.58,185942.18,-6.53,70994.91,Acima da Média
2015-03,185942.18,117918.29,-36.58,70994.91,Acima da Média
