data,faturamento_bruto,custo_total,faturamento_liquido,media_mes
2019-12,2477295.85,1041747.61,1435548.24,526817.55
2020-02,2227379.57,915930.34,1311449.23,526817.55
2019-02,2102862.57,864969.31,1237893.26,526817.55
2018-12,2082206.04,878645.82,1203560.22,526817.55
2020-01,2068951.12,859831.73,1209119.39,526817.55
2019-01,1940899.57,804040.4,1136859.17,526817.55
2019-11,1715659.88,700755.52,1014904.36,526817.55
2019-05,1594446.47,660948.03,933498.44,526817.55
2019-10,1575168.82,659415.29,915753.53,526817.55
2019-09,1547870.73,641319.59,906551.14,526817.55
2019-08,1500784.77,623625.81,877158.96,526817.55
2018-11,1478026.63,602985.38,875041.25,526817.55
2019-07,1408714.62,586820.33,821894.29,526817.55
2019-06,1404861.4,571753.29,833108.11,526817.55
2018-02,1344342.7,552001.52,792341.18,526817.55
2017-12,1287177.07,531509.68,755667.39,526817.55
2018-10,1241730.03,514791.02,726939.01,526817.55
2018-09,1181765.14,495435.0,686330.14,526817.55
2018-05,1073265.56,447160.51,626105.05,526817.55
2018-08,1026845.73,428190.81,598654.92,526817.55
2016-12,998403.46,413857.32,584546.14,526817.55
2018-06,973975.33,406383.28,567592.05,526817.55
2018-07,964149.46,404648.94,559500.52,526817.55
2018-01,917075.35,386891.64,530183.71,526817.55
2016-02,891098.3,359375.55,531722.75,526817.55
2020-05,878026.63,363978.68,514047.95,526817.55
2019-03,845925.09,349828.14,496096.95,526817.55
2020-06,763883.23,320477.27,443405.96,526817.55
2017-02,750526.19,314782.23,435743.96,526817.55
2017-09,686375.1,286369.52,400005.58,526817.55
2020-03,674990.66,278785.9,396204.76,526817.55
2017-01,670114.8,278408.55,391706.25,526817.55
2017-11,655722.99,276796.31,378926.68,526817.55
2020-12,651526.44,266868.78,384657.66,526817.55
2016-11,649949.36,260281.6,389667.76,526817.55
2016-01,649918.78,261649.82,388268.96,526817.55
2017-06,631731.3,265406.0,366325.3,526817.55
2017-10,628521.43,265080.73,363440.7,526817.55
2016-10,623959.57,258361.59,365597.98,526817.55
2017-05,616258.96,250014.46,366244.5,526817.55
2016-05,595986.18,239936.86,356049.32,526817.55
2017-08,593379.05,243743.02,349636.03,526817.55
2016-09,567421.12,235561.57,331859.55,526817.55
2016-08,547512.69,221602.78,325909.91,526817.55
2021-02,526266.9,218282.92,307983.98,526817.55
2016-06,518585.28,224314.79,294270.49,526817.55
2021-01,513021.58,212541.87,300479.71,526817.55
2020-07,512805.18,210482.81,302322.37,526817.55
2017-07,511786.72,212245.76,299540.96,526817.55
2016-07,454959.83,185590.4,269369.43,526817.55
2018-03,434951.15,177069.49,257881.66,526817.55
2020-08,416647.08,171485.93,245161.15,526817.55
2020-09,380431.52,158147.14,222284.38,526817.55
2016-03,338407.36,134900.37,203506.99,526817.55
2017-03,331248.59,136486.6,194761.99,526817.55
2020-11,256701.02,107021.77,149679.25,526817.55
2020-10,245647.59,104549.08,141098.51,526817.55
2020-04,217642.1,89612.56,128029.54,526817.55
2019-04,149892.71,61420.26,88472.45,526817.55
2016-04,110591.63,44360.44,66231.19,526817.55
2018-04,70627.54,29796.14,40831.4,526817.55
2017-04,58580.07,23515.35,35064.72,526817.55
