data,margem
2019-10,58.14
2017-06,57.99
2016-09,58.49
2019-04,59.02
2017-07,58.53
2021-01,58.57
2017-09,58.28
2017-11,57.79
2018-04,57.81
2017-10,57.82
2016-07,59.21
2021-02,58.52
2016-03,60.14
2017-12,58.71
2016-05,59.74
2018-09,58.08
2017-01,58.45
2019-01,58.57
2019-08,58.45
2020-05,58.55
2018-08,58.3
2020-08,58.84
2016-06,56.74
2016-12,58.55
2018-03,59.29
2020-06,58.05
2018-07,58.03
2016-11,59.95
2020-01,58.44
2016-01,59.74
2020-09,58.43
2020-10,57.44
2020-04,58.83
2020-11,58.31
2019-02,58.87
2020-03,58.7
2020-07,58.95
2017-03,58.8
2017-08,58.92
2018-06,58.28
2019-09,58.57
2018-02,58.94
2017-04,59.86
2018-01,57.81
2019-07,58.34
2019-03,58.65
2020-12,59.04
2018-11,59.2
2018-10,58.54
2019-05,58.55
2016-10,58.59
2016-02,59.67
2018-05,58.34
2016-04,59.89
2019-11,59.16
2020-02,58.88
2019-06,59.3
2017-05,59.43
2018-12,57.8
2016-08,59.53
2017-02,58.06
2019-12,57.95
