mes_compras,compras_desconto,compras_web,compras_catalogo,compras_loja,total_vendas,variacao_percentual,media_mes,classificação
2012-07,5.0,15.0,9.0,16.0,45.0,,1387.0,Abaixo da Média
2012-08,367.0,571.0,367.0,721.0,2026.0,4402.22,1387.0,Acima da Média
2012-09,303.0,493.0,352.0,664.0,1812.0,-10.56,1387.0,Acima da Média
2012-10,306.0,433.0,268.0,591.0,1598.0,-11.81,1387.0,Acima da Média
2012-11,279.0,501.0,305.0,637.0,1722.0,7.76,1387.0,Acima da Média
2012-12,190.0,321.0,185.0,420.0,1116.0,-35.19,1387.0,Abaixo da Média
2013-01,296.0,515.0,309.0,669.0,1789.0,60.3,1387.0,Acima da Média
2013-02,267.0,492.0,298.0,614.0,1671.0,-6.6,1387.0,Acima da Média
2013-03,297.0,482.0,257.0,631.0,1667.0,-0.24,1387.0,Acima da Média
2013-04,195.0,382.0,286.0,506.0,1369.0,-17.88,1387.0,Abaixo da Média
2013-05,232.0,406.0,320.0,635.0,1593.0,16.36,1387.0,Acima da Média
2013-06,222.0,372.0,236.0,516.0,1346.0,-15.51,1387.0,Abaixo da Média
2013-07,220.0,362.0,210.0,566.0,1358.0,0.89,1387.0,Abaixo da Média
2013-08,213.0,413.0,243.0,609.0,1478.0,8.84,1387.0,Acima da Média
2013-09,186.0,341.0,222.0,487.0,1236.0,-16.37,1387.0,Abaixo da Média
2013-10,249.0,478.0,317.0,660.0,1704.0,37.86,1387.0,Acima da Média
2013-11,176.0,365.0,273.0,580.0,1394.0,-18.19,1387.0,Acima da Média
2013-12,160.0,329.0,235.0,519.0,1243.0,-10.83,1387.0,Abaixo da Média
2014-01,192.0,335.0,245.0,534.0,1306.0,5.07,1387.0,Abaixo da Média
2014-02,133.0,236.0,174.0,429.0,972.0,-25.57,1387.0,Abaixo da Média
2014-03,201.0,354.0,222.0,529.0,1306.0,34.36,1387.0,Abaixo da Média
2014-04,150.0,301.0,204.0,499.0,1154.0,-11.64,1387.0,Abaixo da Média
2014-05,213.0,409.0,277.0,576.0,1475.0,27.82,1387.0,Acima da Média
2014-06,156.0,244.0,149.0,362.0,911.0,-38.24,1387.0,Abaixo da Média
