"data_venda","quantidade","faturamento_bruto","faturamento_liquido"
"2022-12",66031,8772.04,2460.78
"2023-03",69336,8835.16,2319.09
"2023-04",65593,8276.91,2150.96
"2023-05",63851,8253.19,2103.47
"2023-07",63614,8283.49,2098.07
"2023-06",64275,8082.99,2072.12
"2023-01",56478,7471.96,2050.74
"2022-11",51185,6613.04,1928.73
"2022-04",47102,6810.73,1900.99
"2022-06",47178,6619.80,1898.15
"2023-02",54581,7226.32,1893.14
"2022-05",46910,6723.70,1868.94
"2023-09",52152,6581.94,1804.45
"2022-10",47861,6238.74,1787.99
"2022-07",46177,5560.34,1769.22
"2023-08",51193,6608.77,1750.38
"2022-03",39981,5894.85,1739.92
"2022-01",38009,5425.55,1671.26
"2022-09",42196,5858.44,1663.97
"2022-02",36935,5413.52,1618.61
"2022-08",39927,4894.23,1589.31
