"produto","preco_final","preco_custo","faturamento_bruto","faturamento_liquido"
Lego Bricks, 39.99 , 34.99 ,23888.83,2986.85
Colorbuds, 14.99 , 6.99 ,15644.76,8349.44
Magic Sand, 15.99 , 13.99 ,9689.62,1211.96
Action Figure, 15.99 , 9.99 ,9267.48,3477.48
Rubik's Cube, 19.99 , 17.99 ,9129.83,913.44
Deck Of Cards, 6.99 , 3.99 ,5873.98,2521.02
Splash Balls, 8.99 , 7.99 ,5416.30,602.48
Nerf Gun, 19.99 , 14.99 ,5305.95,1327.15
Animal Figures, 12.99 , 9.99 ,5077.66,1172.67
Dart Gun, 15.99 , 11.99 ,5050.92,1263.52
Kids Makeup Kit, 19.99 , 13.99 ,4884.16,1465.98
Dinosaur Figures, 14.99 , 10.99 ,4348.90,1160.48
Dino Egg, 10.99 , 9.99 ,4202.14,382.36
Glass Marbles, 10.99 , 5.99 ,4123.23,1875.90
Gamer Headphones, 20.99 , 14.99 ,3769.38,1077.48
Barrel O' Slime, 3.99 , 1.99 ,3657.35,1833.26
Mini Ping Pong Set, 9.99 , 6.99 ,3357.04,1008.12
PlayDoh Can, 2.99 , 1.99 ,3083.53,1031.28
Toy Robot, 25.99 , 20.99 ,3053.57,587.45
Etch A Sketch, 20.99 , 10.99 ,2554.06,1216.80
PlayDoh Playset, 24.99 , 20.99 ,1573.87,251.92
Hot Wheels 5-Pack, 5.99 , 3.99 ,1357.27,453.18
Jenga, 9.99 , 2.99 ,1304.09,913.78
PlayDoh Toolkit, 4.99 , 3.99 ,1154.09,231.28
Plush Pony, 19.99 , 8.99 ,1097.05,603.68
Supersoaker Water Gun, 14.99 , 11.99 ,1018.27,203.79
Foam Disk Launcher, 11.99 , 8.99 ,913.64,228.60
Mr. Potatohead, 9.99 , 4.99 ,859.64,430.25
Teddy Bear, 12.99 , 10.99 ,833.44,128.32
Monopoly, 19.99 , 13.99 ,676.66,203.10
Mini Basketball Hoop, 24.99 , 8.99 ,661.49,423.52
Chutes & Ladders, 12.99 , 9.99 ,497.39,114.87
Playfoam, 10.99 , 3.99 ,456.96,291.06
Classic Dominoes, 9.99 , 7.99 ,446.65,89.42
Uno Card Game, 7.99 , 3.99 ,216.53,108.40
