"data_venda","quantidade","faturamento"
"2015-07-01",137,2231.50
"2015-07-02",138,2294.80
"2015-07-03",213,3443.00
"2015-07-04",234,3864.20
"2015-07-05",96,1591.45
"2015-07-06",130,2116.90
"2015-07-07",142,2374.40
"2015-07-08",142,2396.05
"2015-07-09",135,2297.75
"2015-07-10",148,2432.40
"2015-07-11",125,2085.55
"2015-07-12",128,2185.65
"2015-07-13",124,2059.50
"2015-07-14",119,1956.50
"2015-07-15",154,2501.80
"2015-07-16",146,2463.90
"2015-07-17",187,3131.65
"2015-07-18",130,2122.20
"2015-07-19",121,2022.70
"2015-07-20",149,2501.00
"2015-07-21",119,2030.85
"2015-07-22",137,2292.10
"2015-07-23",137,2214.50
"2015-07-24",196,3204.40
"2015-07-25",135,2237.25
"2015-07-26",112,1871.55
"2015-07-27",129,2172.00
"2015-07-28",132,2094.55
"2015-07-29",116,1923.25
"2015-07-30",149,2349.15
"2015-07-31",132,2095.40
