"nome_jogo","genero","empresa","copias_vendidas"
Grand Theft Auto V,Action,Rockstar Games,48.43
Call of Duty: Black Ops,Shooter,Activision,30.99
Call of Duty: Modern Warfare 3,Shooter,Activision,30.71
Call of Duty: Ghosts,Shooter,Activision,28.80
Call of Duty: Black Ops II,Shooter,Activision,28.08
Call of Duty: Modern Warfare 2,Shooter,Activision,25.02
Grand Theft Auto IV,Action,Rockstar Games,22.53
Call of Duty: Advanced Warfare,Shooter,Activision,21.78
The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Softworks,20.51
Call of Duty 4: Modern Warfare,Shooter,Activision,18.33
