"nome_jogo","genero","empresa","notas","copias_vendidas"
Grand Theft Auto IV,Action,Rockstar Games,10.0,21.66
Red Dead Redemption: Undead Nightmare,Action,Rockstar Games,10.0,2.29
Red Dead Redemption 2,Action-Adventure,Rockstar Games,9.8,13.94
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Action,Rockstar Games,9.8,2.49
Grand Theft Auto V,Action,Rockstar Games,9.7,19.39
NFL 2K,Sports,Sega,9.7,1.20
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Action,Rockstar Games,9.7,1.72
The Orange Box,Shooter,Electronic Arts,9.7,1.96
The Walking Dead: A Telltale Games Series,Adventure,Telltale Games,9.7,0.82
Undertale,Role-Playing,Toby Fox,9.7,0.01
