"genero","america_norte","japao","europa_africa","resto_mundo","total"
Sports,607.47,109.27,341.92,128.19,1187.52
Action,589.69,80.30,342.52,112.41,1125.91
Shooter,528.27,33.99,324.74,108.43,995.50
Misc,295.66,56.24,146.71,58.52,557.80
Racing,269.72,20.23,179.14,56.44,525.75
Role-Playing,171.67,130.56,91.02,33.75,426.80
Platform,187.96,31.08,99.39,30.38,349.15
Fighting,173.96,58.61,79.84,28.65,341.13
Adventure,157.26,46.11,91.52,30.11,325.39
Simulation,152.84,35.98,86.86,24.34,300.65
Action-Adventure,65.09,5.46,59.52,18.40,148.52
Puzzle,64.36,29.27,25.78,7.38,127.28
Strategy,47.06,36.80,27.05,7.29,118.31
Music,25.97,5.84,15.02,4.93,51.75
MMO,3.95,1.39,2.94,1.03,9.31
Party,2.67,1.19,1.81,0.52,6.21
Visual Novel,0.49,5.06,0.07,0.13,5.78
Sandbox,0.69,0.52,0.56,0.12,1.89
Education,0.68,,0.20,0.08,0.97
Board Game,0.06,0.04,0.22,0.02,0.33
